rank,ticker,price,sma50,sma200,pct_above_200sma,rsi14,pattern_type,bottom1_date,bottom2_date,bottom3_date,bottom1_price,bottom2_price,bottom3_price,avg_bottom,bottom_variation_pct,neckline,pattern_span_days,breakout_date,days_since_breakout,pct_above_neckline,pct_to_neckline,volume_ratio,name,indices,region,score,cohort_date,entry_price,price_1m,return_1m,spy_return_1m,alpha_1m,price_100d,return_100d,spy_return_100d,alpha_100d,price_3m,return_3m,spy_return_3m,alpha_3m,price_6m,return_6m,spy_return_6m,alpha_6m,price_yearend,return_yearend,spy_return_yearend,alpha_yearend
1,IGG.L,995.28,944.26,871.8,14.2,68.5,triple_bottom_breakout,2021-06-25 07:00:00,2024-07-25 07:00:00,2024-10-29 08:00:00,828.5,820.5,885.0,844.67,4.78,995.25,844,2025-01-02 08:00:00,0,0.0,,0.55,IG Group,STOXX 600,Europe,0.6849555555555557,2025-01-02,995.2798461914062,1018.4016723632812,2.32,2.93,-0.61,1118.3428955078125,12.36,1.23,11.13,952.9400634765625,-4.25,-13.31,9.06,1066.3734130859375,7.14,6.74,0.4,1314.6170654296875,32.09,18.01,14.08
2,CIEN,83.24,73.69,57.19,45.5,56.0,triple_bottom_breakout,2021-09-21 13:30:00,2024-02-21 14:30:00,2024-09-06 13:30:00,50.34,53.17,50.67,51.39,3.46,78.28,744,2024-12-12 14:30:00,13,6.34,,6.27,Ciena,S&P 500,US,0.5569904761904763,2025-01-02,83.23999786376953,87.5,5.12,2.93,2.19,81.55000305175781,-2.03,1.23,-3.26,53.5,-35.73,-13.31,-22.42,78.66000366210938,-5.5,6.74,-12.24,233.8699951171875,180.96,18.01,162.95
3,MS,119.41,121.22,100.29,19.1,45.3,triple_bottom_breakout,2022-01-18 14:30:00,2024-06-14 13:30:00,2024-09-11 13:30:00,92.94,93.99,94.09,93.67,0.78,109.73,665,2024-10-16 13:30:00,53,8.82,,4.1,Morgan Stanley,S&P 500,US,0.5515296296296296,2025-01-02,119.41312408447266,131.75836181640625,10.34,2.93,7.41,124.4544677734375,4.22,1.23,2.99,96.17192840576172,-19.46,-13.31,-6.15,137.04945373535156,14.77,6.74,8.03,174.65155029296875,46.26,18.01,28.25
4,HQY,96.81,96.06,83.68,15.7,51.4,triple_bottom_breakout,2020-12-11 14:30:00,2023-12-15 14:30:00,2024-08-05 13:30:00,63.17,62.1,65.01,63.43,2.5,93.32,915,2024-11-06 14:30:00,38,3.74,,4.27,HealthEquity,S&P MidCap 400,US,0.5474786324786325,2025-01-02,96.80999755859375,111.97000122070312,15.66,2.93,12.73,100.9800033569336,4.31,1.23,3.08,78.80000305175781,-18.6,-13.31,-5.29,103.12000274658203,6.52,6.74,-0.22,91.61000061035156,-5.37,18.01,-23.38
5,OLLI,108.27,101.04,91.42,18.4,48.9,triple_bottom_breakout,2021-07-06 13:30:00,2024-08-29 13:30:00,2024-11-20 14:30:00,83.3,86.29,86.88,85.49,2.56,104.98,851,2024-12-10 14:30:00,15,3.13,,3.69,Ollie's Bargain Outlet,S&P MidCap 400,US,0.5288,2025-01-02,108.2699966430664,105.47000122070312,-2.59,2.93,-5.52,111.75,3.21,1.23,1.98,113.29000091552734,4.64,-13.31,17.95,127.08000183105469,17.37,6.74,10.63,109.61000061035156,1.24,18.01,-16.77
6,EXEL,33.94,34.09,26.44,28.4,47.7,triple_bottom_breakout,2020-01-31 14:30:00,2023-02-08 14:30:00,2023-04-28 13:30:00,16.93,16.99,18.08,17.33,4.31,27.8,816,2024-10-15 13:30:00,54,22.09,,4.6,Exelixis,S&P MidCap 400,US,0.5210727272727272,2025-01-02,33.939998626708984,33.119998931884766,-2.42,2.93,-5.35,42.599998474121094,25.52,1.23,24.29,34.56999969482422,1.86,-13.31,15.17,43.5099983215332,28.2,6.74,21.46,43.83000183105469,29.14,18.01,11.13
7,COF,174.42,174.69,147.3,18.4,46.3,triple_bottom_breakout,2021-12-20 14:30:00,2024-06-27 13:30:00,2024-10-03 13:30:00,136.52,132.92,143.3,137.58,4.16,162.4,700,2024-11-06 14:30:00,38,7.4,,5.01,Capital One,S&P 500,US,0.5159452991452992,2025-01-02,174.41957092285156,195.31556701660156,11.98,2.93,9.05,187.33058166503906,7.4,1.23,6.17,147.3926239013672,-15.5,-13.31,-2.19,213.5898895263672,22.46,6.74,15.72,239.55828857421875,37.35,18.01,19.34
8,GMED,81.83,81.14,69.14,18.3,46.5,triple_bottom_breakout,2022-03-14 13:30:00,2024-06-10 13:30:00,2024-09-11 13:30:00,64.1,64.19,67.73,65.34,3.66,81.78,627,2024-11-06 14:30:00,38,0.06,,5.95,Globus Medical,S&P MidCap 400,US,0.5114611721611722,2025-01-02,81.83000183105469,92.18000030517578,12.65,2.93,9.72,58.88999938964844,-28.03,1.23,-29.26,68.83000183105469,-15.89,-13.31,-2.58,56.599998474121094,-30.83,6.74,-37.57,87.30999755859375,6.7,18.01,-11.31
9,GRMN,199.63,199.46,169.21,18.0,41.4,triple_bottom_breakout,2021-10-01 13:30:00,2024-08-05 13:30:00,2024-10-23 13:30:00,152.49,160.71,160.95,158.05,3.52,184.42,769,2024-10-30 13:30:00,43,8.25,,3.87,Garmin,S&P 500,US,0.5036909090909091,2025-01-02,199.63308715820312,212.9744873046875,6.68,2.93,3.75,198.67587280273438,-0.48,1.23,-1.71,174.79635620117188,-12.44,-13.31,0.87,209.967529296875,5.18,6.74,-1.56,201.18441772460938,0.78,18.01,-17.23
10,TWLO,109.07,98.5,69.98,55.9,56.8,triple_bottom_breakout,2023-08-18 13:30:00,2024-05-08 13:30:00,2024-09-10 13:30:00,56.53,57.8,56.85,57.06,1.3,78.16,266,2024-10-31 13:30:00,42,39.55,,4.75,Twilio,S&P MidCap 400,US,0.4860801033591731,2025-01-02,109.06999969482422,145.9199981689453,33.79,2.93,30.86,117.2300033569336,7.48,1.23,6.25,83.58000183105469,-23.37,-13.31,-10.06,122.12000274658203,11.96,6.74,5.22,142.24000549316406,30.41,18.01,12.4
