cohort_date,n_stocks,portfolio_return_1m,spy_return_1m,alpha_1m,pct_winners_1m,portfolio_return_100d,spy_return_100d,alpha_100d,pct_winners_100d,portfolio_return_3m,spy_return_3m,alpha_3m,pct_winners_3m,portfolio_return_6m,spy_return_6m,alpha_6m,pct_winners_6m,portfolio_return_yearend,spy_return_yearend,alpha_yearend,pct_winners_yearend
2025-01-02,10,9.35,2.93,6.42,80.0,3.4,1.23,2.17,70.0,-13.87,-13.31,-0.56,20.0,7.73,6.74,0.99,80.0,35.96,18.01,17.95,90.0
2025-02-03,10,-7.14,-2.46,-4.68,10.0,-3.63,3.48,-7.11,30.0,-11.34,-5.45,-5.89,10.0,-5.57,5.68,-11.25,40.0,27.82,15.42,12.4,70.0
2025-03-03,10,-1.34,-3.62,2.28,70.0,2.86,9.79,-6.93,60.0,-0.49,1.84,-2.33,70.0,14.83,10.33,4.5,70.0,37.17,18.18,18.99,70.0
2025-04-01,10,1.8,-0.45,2.25,60.0,4.83,14.87,-10.04,80.0,2.69,10.93,-8.24,50.0,6.79,19.84,-13.05,70.0,10.07,22.62,-12.55,60.0
2025-05-01,10,4.42,6.13,-1.71,80.0,26.81,19.06,7.75,80.0,23.05,11.65,11.4,90.0,24.61,22.43,2.18,70.0,25.15,23.17,1.98,80.0
2025-06-02,10,2.06,4.99,-2.93,60.0,12.48,13.99,-1.51,60.0,4.13,8.34,-4.21,50.0,16.71,15.43,1.28,70.0,17.32,16.05,1.27,60.0
2025-07-01,10,4.43,2.34,2.09,70.0,4.24,5.94,-1.7,50.0,10.44,8.16,2.28,70.0,8.81,11.87,-3.06,70.0,8.14,11.04,-2.9,70.0
2025-08-01,10,0.14,2.98,-2.84,40.0,3.77,11.29,-7.52,50.0,1.13,9.65,-8.52,40.0,13.53,12.49,1.04,70.0,2.75,10.31,-7.56,40.0
2025-09-02,10,10.82,4.69,6.13,50.0,15.91,8.81,7.1,70.0,4.81,6.54,-1.73,60.0,15.69,7.62,8.07,60.0,7.94,7.12,0.82,60.0
2025-10-01,10,0.69,1.7,-1.01,70.0,17.99,4.0,13.99,80.0,10.32,2.32,8.0,50.0,20.27,-1.33,21.6,70.0,10.32,2.32,8.0,50.0
2025-11-03,10,-1.88,0.08,-1.96,40.0,4.92,-6.99,11.91,50.0,11.26,0.71,10.55,70.0,18.27,8.0,10.27,70.0,3.84,0.09,3.75,50.0
2025-12-01,10,3.28,0.54,2.74,50.0,24.29,5.73,18.56,60.0,15.0,1.01,13.99,60.0,27.32,11.5,15.82,60.0,3.28,0.54,2.74,50.0
