rank,ticker,price,sma50,sma200,pct_above_200sma,rsi14,pattern_type,bottom1_date,bottom2_date,bottom3_date,bottom1_price,bottom2_price,bottom3_price,avg_bottom,bottom_variation_pct,neckline,pattern_span_days,breakout_date,days_since_breakout,pct_above_neckline,pct_to_neckline,volume_ratio,name,indices,region,score,cohort_date,entry_price,price_1m,return_1m,spy_return_1m,alpha_1m,price_100d,return_100d,spy_return_100d,alpha_100d,price_3m,return_3m,spy_return_3m,alpha_3m,price_6m,return_6m,spy_return_6m,alpha_6m,price_yearend,return_yearend,spy_return_yearend,alpha_yearend
1,AXON,8.94,8.01,5.88,52.1,63.6,triple_bottom_breakout,2010-02-05 14:30:00,2012-06-05 13:30:00,2012-09-10 13:30:00,5.33,5.06,5.16,5.18,2.83,7.88,654,2012-10-26 13:30:00,43,13.45,,11.67,Axon Enterprise,S&P 500,US,0.59395,2013-01-02,8.9399995803833,8.40999984741211,-5.93,3.55,-9.48,9.59000015258789,7.27,14.36,-7.09,7.519999980926514,-15.88,7.18,-23.06,8.729999542236328,-2.35,11.5,-13.85,15.880000114440918,77.63,29.0,48.63
2,SAM,139.44,118.34,110.5,26.2,75.1,triple_bottom_breakout,2011-01-31 14:30:00,2012-02-23 14:30:00,2012-08-23 13:30:00,89.41,94.24,98.36,94.0,4.89,128.07,395,2012-12-13 14:30:00,12,8.88,,10.13,Boston Beer Company,S&P MidCap 400,US,0.3953333333333333,2013-01-02,139.44000244140625,140.75,0.94,3.55,-2.61,151.49000549316406,8.64,14.36,-5.72,156.1699981689453,12.0,7.18,4.82,174.5800018310547,25.2,11.5,13.7,241.7899932861328,73.4,29.0,44.4
3,MTZ,25.58,23.03,18.93,35.1,72.3,triple_bottom_breakout,2011-06-16 13:30:00,2012-02-22 14:30:00,2012-08-30 13:30:00,17.15,17.45,17.95,17.52,2.47,22.72,305,2012-11-02 13:30:00,40,12.59,,4.82,MasTec,S&P MidCap 400,US,0.39408333333333334,2013-01-02,25.579999923706055,28.299999237060547,10.63,3.55,7.08,32.060001373291016,25.33,14.36,10.97,27.34000015258789,6.88,7.18,-0.3,32.58000183105469,27.37,11.5,15.87,32.720001220703125,27.91,29.0,-1.09
1,BC,29.32,23.73,19.92,47.2,83.0,triple_bottom_breakout,2011-03-23 13:30:00,2012-04-10 13:30:00,2012-11-16 14:30:00,22.39,23.85,23.57,23.27,3.78,27.7,417,2013-01-24 14:30:00,6,5.84,,5.3,Brunswick,S&P MidCap 400,US,0.4157333333333334,2013-02-01,29.31777000427246,28.685888290405273,-2.16,2.02,-4.18,25.73709487915039,-12.21,6.92,-19.13,26.29607391357422,-10.31,7.17,-17.48,31.79668617248535,8.46,14.14,-5.68,37.395870208740234,27.55,24.58,2.97
2,SAM,140.75,130.67,114.39,23.0,57.6,triple_bottom_breakout,2011-01-31 14:30:00,2012-02-23 14:30:00,2012-08-23 13:30:00,89.41,94.24,98.36,94.0,4.89,128.07,395,2012-12-13 14:30:00,33,9.9,,10.13,Boston Beer Company,S&P MidCap 400,US,0.3844333333333333,2013-02-01,140.75,159.08999633789062,13.03,2.02,11.01,171.92999267578125,22.15,6.92,15.23,149.1199951171875,5.95,7.17,-1.22,204.4199981689453,45.24,14.14,31.1,241.7899932861328,71.79,24.58,47.21
3,SDLF.L,484.57,405.81,372.24,30.2,82.7,triple_bottom_breakout,2011-10-06 07:00:00,2012-07-26 07:00:00,2012-10-29 08:00:00,329.41,337.83,358.64,341.96,4.88,450.35,267,2013-01-30 08:00:00,2,7.6,,8.5,Standard Life,STOXX 600,Europe,0.38186666666666663,2013-02-01,484.5721130371094,480.7864074707031,-0.78,2.02,-2.8,482.10980224609375,-0.51,6.92,-7.43,484.7607116699219,0.04,7.17,-7.13,561.64111328125,15.9,14.14,1.76,551.2316284179688,13.76,24.58,-10.82
4,BSX,7.64,6.07,5.73,33.3,90.2,triple_bottom_breakout,2011-08-10 13:30:00,2012-06-28 13:30:00,2012-12-31 14:30:00,5.88,5.48,5.53,5.63,4.44,6.9,349,2013-01-29 14:30:00,3,10.72,,4.17,Boston Scientific,S&P 500,US,0.34519999999999995,2013-02-01,7.639999866485596,7.380000114440918,-3.4,2.02,-5.42,9.25,21.07,6.92,14.15,7.690000057220459,0.65,7.17,-6.52,11.239999771118164,47.12,14.14,32.98,12.020000457763672,57.33,24.58,32.75
1,SAM,155.47,142.59,118.58,31.1,65.2,triple_bottom_breakout,2011-01-31 14:30:00,2012-02-23 14:30:00,2012-08-23 13:30:00,89.41,94.24,98.36,94.0,4.89,128.07,395,2012-12-13 14:30:00,52,21.39,,10.13,Boston Beer Company,S&P MidCap 400,US,0.4823833333333334,2013-03-01,155.47000122070312,159.89999389648438,2.85,3.56,-0.71,179.35000610351562,15.36,11.87,3.49,152.83999633789062,-1.69,7.93,-9.62,213.75999450683594,37.49,8.98,28.51,241.7899932861328,55.52,23.87,31.65
2,NBIX,10.94,9.33,7.94,37.7,64.0,triple_bottom_breakout,2011-05-05 13:30:00,2012-09-21 13:30:00,2012-12-31 14:30:00,7.05,7.37,7.33,7.25,2.76,9.98,416,2013-02-05 14:30:00,17,9.62,,8.8,Neurocrine Biosciences,S&P MidCap 400,US,0.45566666666666666,2013-03-01,10.9399995803833,12.649999618530273,15.63,3.56,12.07,13.84000015258789,26.51,11.87,14.64,12.930000305175781,18.19,7.93,10.26,14.979999542236328,36.93,8.98,27.95,9.34000015258789,-14.63,23.87,-38.5
3,BC,29.41,26.9,20.74,41.8,58.2,triple_bottom_breakout,2011-03-23 13:30:00,2012-04-10 13:30:00,2012-11-16 14:30:00,22.39,23.85,23.57,23.27,3.78,27.7,417,2013-01-24 14:30:00,25,6.16,,5.3,Brunswick,S&P MidCap 400,US,0.3903333333333333,2013-03-01,29.40687370300293,26.085447311401367,-11.29,3.56,-14.85,26.81454086303711,-8.82,11.87,-20.69,27.195289611816406,-7.52,7.93,-15.45,29.601314544677734,0.66,8.98,-8.32,37.395870208740234,27.17,23.87,3.3
