cohort_date,n_stocks,portfolio_return_1m,spy_return_1m,alpha_1m,pct_winners_1m,portfolio_return_100d,spy_return_100d,alpha_100d,pct_winners_100d,portfolio_return_3m,spy_return_3m,alpha_3m,pct_winners_3m,portfolio_return_6m,spy_return_6m,alpha_6m,pct_winners_6m,portfolio_return_yearend,spy_return_yearend,alpha_yearend,pct_winners_yearend
2023-01-03,2,7.5,9.44,-1.94,50.0,23.78,10.71,13.07,100.0,12.64,7.72,4.92,100.0,25.3,16.32,8.98,100.0,57.9,26.71,31.19,100.0
2023-02-01,1,3.3,-1.61,4.91,100.0,13.6,6.98,6.62,100.0,10.21,-0.3,10.51,100.0,25.27,10.08,15.19,100.0,70.51,17.46,53.05,100.0
2023-03-01,4,0.57,2.66,-2.09,50.0,4.52,16.25,-11.73,75.0,-9.4,6.26,-15.66,0.0,3.07,15.12,-12.05,75.0,14.36,22.24,-7.88,75.0
2023-04-03,4,-1.68,-0.71,-0.97,50.0,-1.01,7.46,-8.47,50.0,3.72,8.23,-4.51,50.0,-5.98,3.33,-9.31,50.0,18.35,16.97,1.38,100.0
2023-05-01,2,-10.2,0.56,-10.76,0.0,-17.55,4.34,-21.89,0.0,-5.97,10.27,-16.24,50.0,-21.62,0.74,-22.36,0.0,2.22,15.69,-13.47,50.0
2023-06-01,4,4.98,5.6,-0.62,100.0,6.83,1.16,5.67,75.0,17.56,7.16,10.4,75.0,6.01,8.98,-2.97,75.0,15.82,13.96,1.86,100.0
2023-07-03,5,-0.66,1.43,-2.09,40.0,3.14,2.89,0.25,60.0,-0.45,-3.37,2.92,40.0,7.02,7.31,-0.29,80.0,6.31,7.92,-1.61,80.0
2023-08-01,6,6.78,-1.2,7.98,66.7,0.5,4.34,-3.84,50.0,-11.36,-8.64,-2.72,33.3,4.48,6.59,-2.11,50.0,3.2,4.92,-1.72,50.0
2023-09-01,7,-3.31,-6.23,2.92,28.6,33.04,8.85,24.19,85.7,13.35,2.11,11.24,85.7,64.37,13.26,51.11,85.7,21.1,6.15,14.95,85.7
2023-10-02,5,-1.05,-2.13,1.08,40.0,54.74,18.89,35.85,100.0,26.85,11.06,15.79,100.0,70.63,22.43,48.2,100.0,27.72,11.68,16.04,100.0
2023-11-01,3,12.48,8.62,3.86,100.0,61.06,24.67,36.39,100.0,49.31,17.44,31.87,100.0,69.17,21.84,47.33,100.0,25.73,12.91,12.82,100.0
2023-12-01,7,-2.71,2.52,-5.23,14.3,-6.57,11.5,-18.07,42.9,-0.57,10.92,-11.49,28.6,-12.68,15.92,-28.6,28.6,1.25,3.95,-2.7,57.1
