year,cohort_date,ticker,entry_price,return_12m,spy_return_12m,alpha_12m,return_18m,spy_return_18m,alpha_18m,return_24m,spy_return_24m,alpha_24m,return_36m,spy_return_36m,alpha_36m,return_48m,spy_return_48m,alpha_48m,return_60m,spy_return_60m,alpha_60m
2019,2019-02-01,FN,56.97999954223633,11.81,22.29,-10.48,29.24,25.33,3.91,47.02,46.65,0.37,78.34,76.41,1.93,133.99,64.96,69.03,292.42,97.91,194.51
2019,2019-03-01,LSCC,12.449999809265137,49.64,12.31,37.33,136.87,28.7,108.17,298.88,43.08,255.8,382.89,61.28,321.61,596.31,51.63,544.68,536.87,98.24,438.63
2019,2019-03-01,EEFT,135.3699951171875,-6.07,12.31,-18.38,-21.47,28.7,-50.17,14.13,43.08,-28.95,-15.65,61.28,-76.93,-18.5,51.63,-70.13,-18.99,98.24,-117.23
2019,2019-03-01,WAT,244.8000030517578,-17.2,12.31,-29.51,-11.18,28.7,-39.88,11.94,43.08,-31.14,28.1,61.28,-33.18,31.27,51.63,-20.36,41.65,98.24,-56.59
2019,2019-04-01,LSCC,12.109999656677246,47.15,-7.98,55.13,136.5,19.66,116.84,271.76,43.76,228.0,414.86,68.57,346.29,688.6,53.0,635.6,520.23,96.93,423.3
2019,2019-04-01,EEFT,144.9499969482422,-40.86,-7.98,-32.88,-38.89,19.66,-58.55,-4.59,43.76,-48.35,-13.08,68.57,-81.65,-22.8,53.0,-75.8,-26.24,96.93,-123.17
2019,2019-04-01,ULTA,352.54998779296875,-50.16,-7.98,-42.18,-36.78,19.66,-56.44,-12.3,43.76,-56.06,13.96,68.57,-54.61,54.78,53.0,1.78,24.8,96.93,-72.13
2019,2019-04-01,WAT,252.97999572753903,-28.04,-7.98,-20.06,-23.56,19.66,-43.22,12.33,43.76,-31.43,27.15,68.57,-41.42,22.39,53.0,-30.61,34.83,96.93,-62.1
2019,2019-05-01,LSCC,13.489999771118164,66.86,1.58,65.28,146.26,15.19,131.07,272.94,48.27,224.67,256.12,48.31,207.81,520.31,50.4,469.91,417.87,87.56,330.31
2019,2019-05-01,EEFT,149.75,-38.72,1.58,-40.3,-41.06,15.19,-56.25,-4.22,48.27,-52.49,-18.76,48.31,-67.07,-27.63,50.4,-78.03,-28.49,87.56,-116.05
2019,2019-05-01,MANH,66.69999694824219,6.36,1.58,4.78,31.39,15.19,16.2,105.76,48.27,57.49,95.73,48.31,47.42,151.27,50.4,100.87,213.1,87.56,125.54
