cohort_date,n_stocks,portfolio_return_1m,spy_return_1m,alpha_1m,pct_winners_1m,portfolio_return_100d,spy_return_100d,alpha_100d,pct_winners_100d,portfolio_return_3m,spy_return_3m,alpha_3m,pct_winners_3m,portfolio_return_6m,spy_return_6m,alpha_6m,pct_winners_6m,portfolio_return_yearend,spy_return_yearend,alpha_yearend,pct_winners_yearend
2024-01-02,5,0.53,3.5,-2.97,40.0,-15.8,12.36,-28.16,40.0,1.38,10.23,-8.85,60.0,-15.87,17.41,-33.28,40.0,-13.66,25.59,-39.25,40.0
2024-02-01,4,-1.35,4.72,-6.07,75.0,-3.84,12.22,-16.06,25.0,-3.99,3.56,-7.55,50.0,3.35,9.62,-6.27,50.0,10.76,21.34,-10.58,75.0
2024-03-01,7,0.66,1.48,-0.82,57.1,3.41,5.65,-2.24,71.4,-4.58,3.15,-7.73,57.1,11.07,10.61,0.46,71.4,15.58,15.74,-0.16,71.4
2024-04-01,6,-5.01,-3.86,-1.15,33.3,5.7,6.87,-1.17,50.0,0.98,4.78,-3.8,50.0,11.5,10.57,0.93,66.7,7.13,13.33,-6.2,66.7
2024-05-01,2,19.16,5.4,13.76,100.0,3.74,14.9,-11.16,50.0,-0.06,8.88,-8.94,50.0,14.17,16.65,-2.48,50.0,-14.18,18.27,-32.45,0.0
2024-06-03,3,-5.98,4.82,-10.8,33.3,-10.46,10.44,-20.9,33.3,-16.6,4.94,-21.54,33.3,-6.06,15.09,-21.15,33.3,-18.69,12.12,-30.81,33.3
2024-07-01,2,6.17,1.0,5.17,50.0,71.26,8.61,62.65,100.0,22.22,5.53,16.69,100.0,41.76,8.56,33.2,100.0,41.58,8.16,33.42,100.0
2024-08-01,3,4.42,3.81,0.61,100.0,16.62,10.22,6.4,100.0,14.69,7.14,7.55,100.0,34.86,10.79,24.07,100.0,15.16,8.63,6.53,100.0
2024-09-03,2,8.8,3.36,5.44,100.0,36.47,10.2,26.27,100.0,43.18,9.67,33.51,100.0,36.95,4.41,32.54,100.0,17.5,6.84,10.66,50.0
2024-11-01,2,14.9,5.76,9.14,100.0,11.81,-1.41,13.22,100.0,35.86,6.17,29.69,50.0,14.98,-1.1,16.08,100.0,12.5,2.98,9.52,50.0
2024-12-02,7,-1.32,-2.82,1.5,42.9,7.89,-7.58,15.47,42.9,5.18,-4.8,9.98,57.1,16.97,-1.13,18.1,85.7,-1.53,-2.58,1.05,28.6
