ticker,price,sma20,sma50,sma100,sma200,pct_above_200,slope_200_6m,slope_200_1y,slope_200_2y,days_above_200,rsi14,high_52w,low_52w,pct_from_52w_high,pct_from_ath,ma_bullish_stack,phase,phase_score,phase_note,name,sector
NIB,36.29,36.29,35.55,33.61,30.37,19.5,15.5,6.3,0.6,160,70.8,36.29,23.16,0.0,0.0,False,Early Bull,58,200MA flat/down over 2y (0.6%) · Only 160d above 200MA,Cocoa,Agriculture
SOYB,27.65,26.35,25.69,25.19,24.19,14.3,8.4,11.7,-3.0,149,73.4,27.79,21.46,-0.5,-5.7,True,Early-Mid Bull,63,200MA flat/down over 2y (-3.0%) · Only 149d above 200MA,Soybeans,Agriculture
COPX,90.66,90.72,83.06,83.43,80.33,12.9,34.8,99.8,104.6,27,54.3,96.45,49.72,-6.0,-6.0,False,Early-Mid Bull,63,Only 27d above 200MA,Copper Miners,Industrial Metals
PICK,65.06,64.46,60.81,61.87,58.38,11.4,28.6,62.8,52.5,301,57.3,68.36,40.55,-4.8,-4.8,False,Early-Mid Bull,63,200MA +62.8%/yr,Metals & Mining,Industrial Metals
LIT,74.18,75.33,73.06,78.46,73.89,0.4,34.1,83.3,73.1,23,48.3,91.23,48.46,-18.7,-19.7,False,Early-Mid Bull,63,Only 23d above 200MA,Lithium & Battery Tech,Battery Metals
USO,141.96,131.94,123.88,128.31,107.49,32.1,45.6,46.3,44.4,159,66.2,152.96,66.17,-7.2,-7.2,False,Mid Bull,77,Only 159d above 200MA,WTI Crude Oil,Energy
BNO,56.11,52.44,48.64,50.19,42.96,30.6,42.6,45.3,42.1,166,66.1,60.13,27.2,-6.7,-6.7,False,Mid Bull,77,Only 166d above 200MA,Brent Crude Oil,Energy
GSG,34.83,33.44,31.76,31.98,29.04,19.9,25.1,31.8,35.7,318,68.4,34.96,22.45,-0.4,-0.4,False,Mid Bull,80,200MA +31.8%/yr,Commodities GSCI,Broad
XLE,64.06,62.87,59.2,58.02,54.37,17.8,22.4,29.7,31.7,222,63.2,65.1,41.68,-1.6,-1.6,True,Mid Bull,81,200MA +29.7%/yr,Energy Sector,Energy
PDBC,19.01,18.39,17.52,17.61,16.17,17.6,22.6,28.0,28.1,219,67.9,19.09,12.63,-0.4,-0.4,False,Mid Bull,80,200MA +28.0%/yr,Optimum Yield Commodities,Broad
DBC,31.9,30.83,29.36,29.52,27.15,17.5,22.1,28.9,30.2,263,68.4,31.96,21.31,-0.2,-0.2,False,Mid Bull,80,200MA +28.9%/yr,Broad Commodities,Broad
SLX,110.99,108.56,104.63,105.28,97.76,13.5,26.8,55.0,48.5,318,62.9,113.57,69.12,-2.3,-2.3,False,Mid Bull,80,200MA +55.0%/yr,Steel,Industrial Metals
CPER,39.95,39.87,39.05,38.59,36.72,8.8,14.5,26.5,42.2,239,53.0,40.85,27.94,-2.2,-2.2,True,Mid Bull,77,200MA +26.5%/yr,Copper,Industrial Metals
GLD,406.77,409.89,388.88,401.01,415.44,-2.1,13.3,46.6,101.5,0,52.4,495.9,331.05,-18.0,-18.0,False,Recovery,38,Price just below 200MA; trend unconfirmed,Gold,Precious Metals
