year,cohort_date,ticker,entry_price,return_12m,spy_return_12m,alpha_12m,return_18m,spy_return_18m,alpha_18m,return_24m,spy_return_24m,alpha_24m,return_36m,spy_return_36m,alpha_36m,return_48m,spy_return_48m,alpha_48m,return_60m,spy_return_60m,alpha_60m
2023,2023-01-03,ACGL,59.39311981201172,24.03,24.57,-0.54,57.32,48.97,8.35,52.78,60.75,-7.97,62.27,88.36,-26.09,,,,,,
2023,2023-01-03,FICO,591.1900024414062,89.02,24.57,64.45,158.81,48.97,109.84,232.89,60.75,172.14,168.2,88.36,79.84,,,,,,
2023,2023-02-01,FICO,682.6799926757812,83.88,22.17,61.71,131.71,28.67,103.04,170.67,51.23,119.44,103.76,74.89,28.87,,,,,,
2023,2023-03-01,AAON,59.47221755981445,38.59,31.9,6.69,59.31,45.89,13.42,36.88,51.88,-15.0,48.23,77.2,-28.97,,,,,,
2023,2023-03-01,CRUS,103.20999908447266,-9.67,31.9,-41.57,41.16,45.89,-4.73,2.11,51.88,-49.77,26.32,77.2,-50.88,,,,,,
2023,2023-03-01,NVT,44.4441032409668,51.09,31.9,19.19,50.15,45.89,4.26,24.29,51.88,-27.59,137.88,77.2,60.68,,,,,,
2023,2023-03-01,GWW,650.86083984375,47.61,31.9,15.71,48.85,45.89,2.96,49.42,51.88,-2.46,70.29,77.2,-6.91,,,,,,
2023,2023-04-03,AAON,63.78405380249024,33.08,26.66,6.42,66.86,41.06,25.8,16.23,26.1,-9.87,42.21,71.93,-29.72,,,,,,
2023,2023-04-03,DKS,135.96511840820312,45.97,26.66,19.31,46.58,41.06,5.52,26.57,26.1,0.47,55.51,71.93,-16.42,,,,,,
2023,2023-04-03,GWW,662.6556396484375,46.8,26.66,20.14,52.77,41.06,11.71,37.64,26.1,11.54,76.19,71.93,4.26,,,,,,
2023,2023-04-03,NVT,42.84546661376953,72.26,26.66,45.6,55.13,41.06,14.07,6.54,26.1,-19.56,199.38,71.93,127.45,,,,,,
2023,2023-05-01,AAON,64.36264038085938,45.45,22.16,23.29,77.58,42.5,35.08,52.88,39.33,13.55,52.62,83.53,-30.91,,,,,,
2023,2023-05-01,CHDN,147.5825653076172,-12.62,22.16,-34.78,-3.1,42.5,-45.6,-38.77,39.33,-78.1,-37.49,83.53,-121.02,,,,,,
2023,2023-06-01,NVDA,39.688568115234375,189.26,26.94,162.32,248.75,46.09,202.66,252.23,44.44,207.79,425.69,82.11,343.58,,,,,,
2023,2023-06-01,KRYS,116.83999633789062,40.59,26.94,13.65,66.82,46.09,20.73,13.51,44.44,-30.93,158.27,82.11,76.16,,,,,,
2023,2023-06-01,CELH,44.43000030517578,68.8,26.94,41.86,-35.54,46.09,-81.63,-9.79,44.44,-54.23,-36.98,82.11,-119.09,,,,,,
2023,2023-06-01,CMG,41.64659881591797,47.74,26.94,20.8,45.37,46.09,-0.72,26.3,44.44,-18.14,-29.72,82.11,-111.83,,,,,,
2023,2023-07-03,NVDA,42.330528259277344,202.55,26.0,176.55,226.25,34.44,191.81,277.48,43.5,233.98,379.04,75.82,303.22,,,,,,
2023,2023-07-03,CELH,49.42333221435547,16.38,26.0,-9.62,-44.97,34.44,-79.41,-7.76,43.5,-51.26,-38.25,75.82,-114.07,,,,,,
2023,2023-07-03,KRYS,116.88999938964844,51.9,26.0,25.9,33.89,34.44,-0.55,22.62,43.5,-20.88,217.6,75.82,141.78,,,,,,
2023,2023-07-03,ORCL,112.69082641601562,25.01,26.0,-0.99,44.49,34.44,10.05,105.31,43.5,61.81,27.53,75.82,-48.29,,,,,,
2023,2023-07-03,CMG,42.47079849243164,44.99,26.0,18.99,41.01,34.44,6.57,30.56,43.5,-12.94,-18.53,75.82,-94.35,,,,,,
2023,2023-08-01,NVDA,46.41656494140625,134.9,20.62,114.28,150.96,33.64,117.32,283.53,41.23,242.3,371.79,74.76,297.03,,,,,,
2023,2023-08-01,VICR,88.0,-55.1,20.62,-75.72,-46.38,33.64,-80.02,-46.69,41.23,-87.92,148.55,74.76,73.79,,,,,,
2023,2023-08-01,KRYS,130.22000122070312,52.65,20.62,32.03,22.12,33.64,-11.52,5.48,41.23,-35.75,147.8,74.76,73.04,,,,,,
2023,2023-08-01,RR.L,185.21177673339844,140.05,20.62,119.43,214.6,33.64,180.96,443.09,41.23,401.86,645.06,74.76,570.3,,,,,,
2023,2023-08-01,CELH,47.47666549682617,-5.64,20.62,-26.26,-49.95,33.64,-83.59,-9.98,41.23,-51.21,-49.93,74.76,-124.69,,,,,,
